element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(10^8 s^-1),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Th,1,"=""385.83584""","=""0.00004""","=""190""","=""""","=""""",,"=""1.622774763""","=""4.83525608""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L5951""",
Th,1,"=""385.89295""","=""0.00004""","=""110""","=""""","=""""",,"=""1.472664364""","=""4.68466985""","=""6d.7s2.7p""","=""3D*""","=""1""","=""""","=""""","=""2""",3,5,,"=""""","=""L5951""",
Th,1,"=""385.92891""","=""0.00015""","=""48""","=""""","=""""",,"=""1.0910919079""","=""4.30279874""","=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L3552""",
Th,2,"=""385.97473""","=""0.00004""","=""150""","=""""","=""""",,"=""1.548350422""","=""4.75967595""","=""5f.6d.(3F*).7s""","=""4F*""","=""9/2""","=""5f.7s.(3F*).7p""","=""""","=""7/2""",10,8,,"=""""","=""L5951""",
Th,2,"=""385.983945""","=""0.000016""","=""1800""","=""""","=""""",,"=""1.038846135""","=""4.25009510""","=""5f.7s2""","=""2F*""","=""7/2""","=""5f2.(1G).7s""","=""""","=""7/2""",8,8,,"=""""","=""L5951""",
Th,2,"=""385.99328""","=""0.00004""","=""190""","=""""","=""""",,"=""1.546352910""","=""4.75752391""","=""5f.6d.(3F*).7s""","=""2F*""","=""5/2""","=""5f2.(3F).6d""","=""""","=""3/2""",6,4,,"=""""","=""L5951""",
Th,1,"=""386.10511""","=""0.00015""","=""490""","=""""","=""""",,"=""1.728997759""","=""4.93923863""","=""6d.7s2.7p""","=""3F*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L3552""",
Th,1,"=""386.13523""","=""0.00004""","=""190""","=""""","=""""",,"=""1.005636397""","=""4.21562743""","=""6d2.7s2""","=""1G""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L5951""",
Th,1,"=""386.15021""","=""0.00003""","=""320""","=""""","=""""",,"=""1.393796936""","=""4.60366325""","=""5f.6d.7s2""","=""3F*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L5951""",
Th,2,"=""386.15407""","=""0.00004""","=""200""","=""""","=""""",,"=""1.435290843""","=""4.64512501""","=""5f.6d.(1D*).7s""","=""2D*""","=""3/2""","=""5f.6d.(3F*).7p""","=""""","=""5/2""",4,6,,"=""""","=""L5951""",
Th,1,"=""386.15759""","=""0.00003""","=""330""","=""""","=""""",,"=""1.388254945""","=""4.59806004""","=""5f.6d.7s2""","=""3H*""","=""5""","=""""","=""""","=""4""",11,9,,"=""""","=""L5951""",
Th,2,"=""386.20520""","=""0.00003""","=""290""","=""""","=""""",,"=""3.77962262""","=""6.98903205""","=""5f2.(3H).7s""","=""2H""","=""11/2""","=""5f2.7p ""","=""4I*""","=""11/2""",12,12,,"=""""","=""L5951""",
Th,2,"=""386.23970""","=""0.00003""","=""360""","=""""","=""""",,"=""1.669939242""","=""4.87906219""","=""5f.6d.(3G*).7s""","=""4G*""","=""9/2""","=""5f.6d.(1G*).7p""","=""""","=""11/2""",10,12,,"=""""","=""L5951""",
Th,1,"=""386.242162""","=""0.000022""","=""830""","=""""","=""""",,"=""1.291188428""","=""4.50029113""","=""5f.6d.7s2""","=""1G*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L5951""",
Th,2,"=""386.25570""","=""0.00021""","=""78""","=""""","=""""",,"=""1.713255573""","=""4.92224499""","=""5f.6d.(3F*).7s""","=""*""","=""7/2""","=""5f.6d.(3H*).7p""","=""""","=""5/2""",8,6,,"=""""","=""L2372""",
Th,1,"=""386.25954""","=""0.00006""","=""73""","=""""","=""""",,"=""2.026726250""","=""5.23568429""","=""5f.6d2.7s""","=""5H*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L5951""",
Th,2,"=""386.26578""","=""0.00003""","=""390""","=""""","=""""",,"=""1.204129814""","=""4.41303544""","=""6d2.(1G).7s""","=""2G""","=""7/2""","=""6d.7s.(3D).7p""","=""*""","=""7/2""",8,8,,"=""""","=""L5951""",
Th,2,"=""386.27027""","=""0.00004""","=""150""","=""""","=""""",,"=""0.188691095""","=""3.39755956""","=""6d2.(3F).7s""","=""4F""","=""5/2""","=""5f.(2F*).6d2.(1D)""","=""*""","=""3/2""",6,4,,"=""""","=""L5951""",
Th,2,"=""386.32050""","=""0.00021""","=""78""","=""""","=""""",,"=""0.908988342""","=""4.11744046""","=""5f.6d.(3F*).7s""","=""4F*""","=""5/2""","=""5f.7s.(3F*).7p""","=""""","=""7/2""",6,8,,"=""""","=""L2372""",
