element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,gA(10^8 s^-1),log_gf,Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Th,1,"=""547.75522""","=""0.00005""","=""120""","=""""","=""""",,"=""1.761433209""","=""4.024301377""","=""5f.6d.7s2""","=""3F*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L5951""",
Th,2,"=""547.8132""","=""0.0003""","=""14""","=""""","=""""",,"=""5.07388253""","=""7.33650987""","=""5f.6d.(3D*).7p""","=""""","=""5/2""","=""""","=""*""","=""3/2 or 5/2""",6,4,,"=""""","=""L12239""",
Th,1,"=""547.87446""","=""0.00005""","=""120""","=""""","=""""",,"=""1.966871474""","=""4.22924662""","=""6d3.(2D2).7s""","=""""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L5951""",
Th,1,"=""547.8906""","=""0.0003""","=""20""","=""""","=""""",,"=""3.185212758""","=""5.44752312""","=""""","=""*""","=""5""","=""""","=""""","=""6""",11,13,,"=""""","=""L12239""",
Th,1,"=""547.907512""","=""0.000024""","=""480""","=""""","=""""",,"=""0.902620242""","=""3.164859140""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L5951""",
Th,1,"=""547.9462""","=""0.0003""","=""57""","=""""","=""""",,"=""2.418081613""","=""4.68016049""","=""6d2.7s.7p""","=""5F*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L3552""",
Th,2,"=""547.96859""","=""0.00009""","=""26""","=""""","=""""",,"=""2.30217151""","=""4.56415827""","=""5f.(2F*).6d2.(3F)""","=""*""","=""1/2""","=""5f2.(3P).7s""","=""""","=""1/2""",2,2,,"=""""","=""L5951""",
Th,2,"=""548.08908""","=""0.00005""","=""140""","=""""","=""""",,"=""1.345888603""","=""3.60737787""","=""6d3""","=""""","=""7/2""","=""5f.(2F*).6d2.(1D)""","=""*""","=""5/2""",8,6,,"=""""","=""L5951""",
Th,1,"=""548.1211""","=""0.0003""","=""36""","=""""","=""""",,"=""2.02738205""","=""4.28873820""","=""6d2.7s2""","=""""","=""0""","=""""","=""*""","=""1""",1,3,,"=""""","=""L3552""",
Th,1,"=""548.14813""","=""0.00006""","=""70*""","=""""","=""""",,"=""2.777171240""","=""5.03841698""","=""5f.6d2.7s""","=""3I*""","=""5""","=""""","=""""","=""6""",11,13,,"=""""","=""L5951""",
Th,2,"=""548.14813""","=""0.00006""","=""70*""","=""""","=""""",,"=""2.81263698""","=""5.07388253""","=""5f.(2F*).6d2.(3F)""","=""4G*""","=""7/2""","=""5f.6d.(3D*).7p""","=""""","=""5/2""",8,6,,"=""""","=""L5951""",
Th,1,"=""548.1612""","=""0.0003""","=""14""","=""""","=""""",,"=""2.473285786""","=""4.73447583""","=""6d2.7s.7p""","=""5F*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L3552""",
Th,1,"=""548.18309""","=""0.00024""","=""25""","=""""","=""""",,"=""2.444104358""","=""4.70520587""","=""6d3.(2F).7s""","=""3F""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L12239""",
Th,2,"=""548.19630""","=""0.00007""","=""57""","=""""","=""""",,"=""2.33299410""","=""4.59404117""","=""5f.(2F*).6d2.(3F)""","=""4I*""","=""13/2""","=""5f.7s.(3F*).7p""","=""""","=""11/2""",14,12,,"=""""","=""L5951""",
Th,2,"=""548.24042""","=""0.00009""","=""37*""","=""""","=""""",,"=""4.47897156""","=""6.7398368""","=""5f2.(3F).6d""","=""""","=""9/2""","=""5f.7p2? ""","=""*""","=""9/2""",10,10,,"=""""","=""L5951""",
Th,2,"=""548.24042""","=""0.00009""","=""37*""","=""""","=""""",,"=""2.62000923""","=""4.88087447""","=""5f.6d.(1P*).7s""","=""*""","=""3/2""","=""5f.7s.(1F*).7p""","=""""","=""5/2""",4,6,,"=""""","=""L5951""",
Th,1,"=""548.25016""","=""0.00004""","=""190""","=""""","=""""",,"=""1.761104381""","=""4.02192919""","=""6d3.(2G).7s""","=""""","=""5""","=""""","=""*""","=""4""",11,9,,"=""""","=""L5951""",
Th,1,"=""548.2911""","=""0.0003""","=""23""","=""""","=""""",,"=""2.979616340""","=""5.24027231""","=""5f.6d.7s.7p""","=""5G""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L12239""",
Th,1,"=""548.31446""","=""0.00006""","=""59""","=""""","=""""",,"=""1.716904709""","=""3.97746445""","=""6d3.(4F).7s""","=""3F""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L5951""",
Th,2,"=""548.33506""","=""0.00018""","=""71""","=""""","=""""",,"=""3.379455706""","=""5.63993280""","=""5f.7s.(3F*).7p""","=""""","=""7/2""","=""6d2.(3F).7p""","=""2G*""","=""9/2""",8,10,,"=""""","=""L12239""",
Th,1,"=""548.3623""","=""0.0003""","=""22""","=""""","=""""",,"=""2.419797174""","=""4.68016049""","=""6d2.7s.7p""","=""5D*""","=""2""","=""""","=""""","=""2""",5,5,,"=""""","=""L3552""",
Th,1,"=""548.3709""","=""0.0003""","=""14""","=""""","=""""",,"=""2.428647391""","=""4.68897330""","=""6d2.7s.7p""","=""5G*""","=""5""","=""""","=""""","=""4""",11,9,,"=""""","=""L3552""",
Th,1,"=""548.38863""","=""0.00009""","=""36""","=""""","=""""",,"=""2.89569723""","=""5.15595087""","=""6d4""","=""5D""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L5951""",
Th,2,"=""548.41209""","=""0.00006""","=""74""","=""""","=""""",,"=""2.51546271""","=""4.77562040""","=""5f.(2F*).6d2.(1G)""","=""*""","=""11/2""","=""5f2.(3H).6d""","=""4I""","=""13/2""",12,14,,"=""""","=""L5951""",
Th,2,"=""548.41468""","=""0.00003""","=""440""","=""""","=""""",,"=""1.378280820""","=""3.63842748""","=""5f.6d.(3G*).7s""","=""4G*""","=""7/2""","=""5f2.(3F).7s""","=""""","=""5/2""",8,6,,"=""""","=""L5951""",
Th,2,"=""548.4268""","=""0.0004""","=""110""","=""""","=""""",,"=""3.60737787""","=""5.86747635""","=""5f.(2F*).6d2.(1D)""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",6,6,,"=""""","=""L2372""",
Th,1,"=""548.44729""","=""0.00009""","=""35""","=""""","=""""",,"=""2.240278611""","=""4.50029113""","=""6d.7s2.7p""","=""1F*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L5951""",
Th,1,"=""548.45597""","=""0.00005""","=""130""","=""""","=""""",,"=""1.592945153""","=""3.85292158""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L5951""",
Th,2,"=""548.4615""","=""0.0004""","=""22""","=""""","=""""",,"=""2.74496768""","=""5.00492531""","=""5f.(2F*).6d2.(1G)""","=""*""","=""9/2""","=""5f.6d.(3G*).7p""","=""""","=""9/2""",10,10,,"=""""","=""L2372""",
Th,1,"=""548.4626""","=""0.0003""","=""14""","=""""","=""""",,"=""2.683744315""","=""4.94369350""","=""6d3.(2G).7s""","=""""","=""4""","=""""","=""*""","=""5""",9,11,,"=""""","=""L12239""",
Th,1,"=""548.49928""","=""0.00006""","=""73""","=""""","=""""",,"=""1.648671592""","=""3.90846969""","=""6d3.(2G).7s""","=""3G""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L5951""",
Th,1,"=""548.5714""","=""0.0003""","=""29""","=""""","=""""",,"=""2.486474731""","=""4.74597567""","=""6d3.(2F).7s""","=""3F""","=""2""","=""""","=""*""","=""1""",5,3,,"=""""","=""L3552""",
Th,2,"=""548.6181""","=""0.0003""","=""10""","=""""","=""""",,"=""3.083980951""","=""5.34328920""","=""6d.7s.(3D).7p""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",6,6,,"=""""","=""L12239""",
Th,1,"=""548.65028""","=""0.00012""","=""270""","=""""","=""""",,"=""2.506331889""","=""4.76550813""","=""6d2.7s.7p""","=""5D*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L12239""",
Th,2,"=""548.6917""","=""0.0004""","=""150""","=""""","=""""",,"=""2.99199112""","=""5.25099462""","=""5f.(2F*).6d2.(3F)""","=""4P*""","=""3/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",4,6,,"=""""","=""L2372""",
Th,2,"=""548.7133""","=""0.0004""","=""15""","=""""","=""""",,"=""3.73209853""","=""5.99101566""","=""5f.(2F*).6d2.(1G)""","=""2F*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",8,6,,"=""""","=""L2372""",
Th,2,"=""548.7426""","=""0.0004""","=""7""","=""""","=""""",,"=""3.69329711""","=""5.95209269""","=""5f.(2F*).6d2.(3P)""","=""4F*""","=""9/2""","=""5f2.6d+5f.6d.7p""","=""""","=""9/2""",10,10,,"=""""","=""L2372""",
Th,1,"=""548.75088""","=""0.00006""","=""60""","=""""","=""""",,"=""2.226743183""","=""4.48550524""","=""6d3.(4F).7s""","=""3F""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L5951""",
Th,1,"=""548.78415""","=""0.00005""","=""120""","=""""","=""""",,"=""1.728997759""","=""3.98762282""","=""6d.7s2.7p""","=""3F*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
Th,1,"=""548.79749""","=""0.00007""","=""57""","=""""","=""""",,"=""2.135541319""","=""4.39411168""","=""6d2.7s.7p""","=""5F*""","=""2""","=""6d4""","=""""","=""3""",5,7,,"=""""","=""L5951""",
Th,1,"=""548.8208""","=""0.0003""","=""15""","=""""","=""""",,"=""2.853515099""","=""5.11198913""","=""""","=""*""","=""5""","=""""","=""""","=""4""",11,9,,"=""""","=""L12239""",
Th,2,"=""548.8518""","=""0.0004""","=""15""","=""""","=""""",,"=""3.56092977""","=""5.81928034""","=""6d.7s.(3D).7p""","=""*""","=""3/2""","=""5f2.6d""","=""""","=""3/2""",4,4,,"=""""","=""L2372""",
Th,2,"=""548.86288""","=""0.00003""","=""420""","=""""","=""""",,"=""0.000000000""","=""2.258301050""","=""6d.7s2""","=""2D""","=""3/2""","=""5f.(2F*).6d2.(3F)""","=""*""","=""3/2""",4,4,,"=""""","=""L5951""",
Th,1,"=""548.87072""","=""0.00006""","=""66""","=""""","=""""",,"=""1.463377110""","=""3.72164568""","=""6d3.(4P).7s""","=""5P""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L5951""",
Th,1,"=""548.8795""","=""0.0003""","=""22""","=""""","=""""",,"=""2.010711511""","=""4.26894195""","=""6d.7s2.7p""","=""1D*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L3552""",
Th,2,"=""548.89255""","=""0.00003""","=""300""","=""""","=""""",,"=""0.764778652""","=""3.02295774""","=""5f.6d.(3H*).7s""","=""4H*""","=""7/2""","=""5f2.(3H).7s""","=""4H""","=""7/2""",8,8,,"=""""","=""L5951""",
Th,1,"=""548.89410""","=""0.00018""","=""30""","=""""","=""""",,"=""2.299833145""","=""4.55800651""","=""6d3.(4P).7s""","=""""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L18702""",
Th,1,"=""548.90885""","=""0.00003""","=""320""","=""""","=""""",,"=""1.936507287""","=""4.194619190""","=""5f.6d2.7s""","=""5H*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L5951""",
Th,2,"=""548.9452""","=""0.0004""","=""22""","=""""","=""""",,"=""2.93813506""","=""5.19609446""","=""5f.(2F*).6d2.(3P)""","=""*""","=""7/2""","=""5f.6d.(3F*).7p""","=""""","=""9/2""",8,10,,"=""""","=""L2372""",
Th,2,"=""548.9623""","=""0.0004""","=""76""","=""""","=""""",,"=""2.489685598""","=""4.74757772""","=""5f.6d.(1F*).7s""","=""*""","=""7/2""","=""5f.7s.(3F*).7p""","=""""","=""7/2""",8,8,,"=""""","=""L2372""",
Th,2,"=""549.1532""","=""0.0003""","=""23""","=""""","=""""",,"=""2.99199112""","=""5.24909792""","=""5f.(2F*).6d2.(3F)""","=""4P*""","=""3/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",4,6,,"=""""","=""L12239""",
Th,2,"=""549.20644""","=""0.00009""","=""40*""","=""""","=""""",,"=""2.21160566""","=""4.46849442""","=""5f.6d.(3P*).7s""","=""*""","=""1/2""","=""5f2.(3F).6d""","=""""","=""1/2""",2,2,,"=""""","=""L5951""",
Th,2,"=""549.20644""","=""0.00009""","=""40*""","=""""","=""""",,"=""3.29627677""","=""5.55316426""","=""5f.(2F*).6d2.(3P)""","=""*""","=""3/2""","=""5f.6d.(1D*).7p""","=""""","=""1/2""",4,2,,"=""""","=""L5951""",
Th,1,"=""549.23321""","=""0.00003""","=""290""","=""""","=""""",,"=""0.4572521355""","=""2.714030537""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L18702""",
Th,1,"=""549.24107""","=""0.00003""","=""320""","=""""","=""""",,"=""2.739826117""","=""4.99657202""","=""5f.6d.7s.7p""","=""5I""","=""4""","=""""","=""*""","=""4""",9,9,,"=""""","=""L5951""",
Th,1,"=""549.264334""","=""0.000005""","=""2800""","=""""","=""""",,"=""0.9301651190""","=""3.186815564""","=""6d3.(4F).7s""","=""5F""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L18702""",
Th,1,"=""549.29108""","=""0.00009""","=""35""","=""""","=""""",,"=""2.212755599""","=""4.46929602""","=""5f.6d.7s2""","=""3P*""","=""2""","=""""","=""""","=""2""",5,5,,"=""""","=""L5951""",
Th,1,"=""549.31549""","=""0.00007""","=""49""","=""""","=""""",,"=""2.233126549""","=""4.48956624""","=""5f.6d2.7s""","=""5H*""","=""5""","=""""","=""""","=""5""",11,11,,"=""""","=""L5951""",
Th,1,"=""549.320404""","=""0.000012""","=""970""","=""""","=""""",,"=""0.7888365657""","=""3.045256708""","=""6d3.(4F).7s""","=""5F""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L18702""",
Th,1,"=""549.35942""","=""0.00009""","=""35""","=""""","=""""",,"=""1.731131837""","=""3.98739166""","=""6d3.(2D2).7s""","=""""","=""1""","=""""","=""*""","=""2""",3,5,,"=""""","=""L5951""",
Th,2,"=""549.3931""","=""0.0004""","=""15""","=""""","=""""",,"=""3.17487718""","=""5.43100153""","=""5f.(2F*).6d2.(3F)""","=""*""","=""9/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",10,8,,"=""""","=""L2372""",
Th,1,"=""549.39698""","=""0.00024""","=""34""","=""""","=""""",,"=""2.135541319""","=""4.39164486""","=""6d2.7s.7p""","=""5F*""","=""2""","=""""","=""""","=""1""",5,3,,"=""""","=""L12239""",
Th,1,"=""549.433059""","=""0.000009""","=""1300""","=""""","=""""",,"=""1.0910919079""","=""3.347049387""","=""6d3.(4F).7s""","=""5F""","=""4""","=""""","=""*""","=""3""",9,7,,"=""""","=""L18702""",
Th,2,"=""549.45616""","=""0.00005""","=""130""","=""""","=""""",,"=""2.46881556""","=""4.72467830""","=""5f.(2F*).6d2.(3F)""","=""4H*""","=""13/2""","=""5f2.(3H).6d""","=""4K""","=""15/2""",14,16,,"=""""","=""L5951""",
Th,1,"=""549.4625""","=""0.0003""","=""21""","=""""","=""""",,"=""1.622774763""","=""3.87861182""","=""6d3.(2G).7s""","=""3G""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L12239""",
Th,1,"=""549.4797""","=""0.0003""","=""15""","=""""","=""""",,"=""2.549936368""","=""4.80570596""","=""6d2.7s.7p""","=""5D*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L3552""",
Th,2,"=""549.58083""","=""0.00005""","=""87""","=""""","=""""",,"=""1.803419255""","=""4.05877018""","=""5f.6d.(3D*).7s""","=""4D*""","=""5/2""","=""5f.6d.(3H*).7p""","=""""","=""7/2""",6,8,,"=""""","=""L5951""",
Th,1,"=""549.613688""","=""0.000006""","=""2200""","=""""","=""""",,"=""0.6897416420""","=""2.944957708""","=""6d3.(4F).7s""","=""5F""","=""1""","=""""","=""*""","=""2""",3,5,,"=""""","=""L18702""",
Th,2,"=""549.6464""","=""0.0004""","=""15""","=""""","=""""",,"=""1.123433659""","=""3.37851302""","=""6d2.(3P).7s""","=""4P""","=""5/2""","=""5f.(2F*).6d2.(3P)""","=""4D*""","=""7/2""",6,8,,"=""""","=""L2372""",
Th,1,"=""549.7401""","=""0.0003""","=""15""","=""""","=""""",,"=""2.128325734""","=""4.38301972""","=""6d3.(2H).7s""","=""3H""","=""5""","=""""","=""*""","=""4""",11,9,,"=""""","=""L3552""",
Th,2,"=""549.77537""","=""0.00009""","=""30""","=""""","=""""",,"=""1.915932277""","=""4.17048512""","=""5f.6d.(3D*).7s""","=""4D*""","=""7/2""","=""5f2.(3F).6d""","=""""","=""7/2""",8,8,,"=""""","=""L5951""",
Th,1,"=""549.79981""","=""0.00008""","=""42""","=""""","=""""",,"=""2.777171240""","=""5.03162394""","=""5f.6d2.7s""","=""3I*""","=""5""","=""""","=""""","=""5""",11,11,,"=""""","=""L5951""",
Th,1,"=""549.87171""","=""0.00009""","=""32""","=""""","=""""",,"=""2.135541319""","=""4.38969965""","=""6d2.7s.7p""","=""5F*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L5951""",
Th,1,"=""549.925521""","=""0.000003""","=""11000""","=""""","=""""",,"=""0.3171586159""","=""2.571095889""","=""6d2.7s2""","=""3P""","=""0""","=""""","=""*""","=""1""",1,3,,"=""""","=""L18702""",
Th,1,"=""549.964763""","=""0.000015""","=""670""","=""""","=""""",,"=""0.6897416420""","=""2.943518113""","=""6d3.(4F).7s""","=""5F""","=""1""","=""""","=""*""","=""1""",3,3,,"=""""","=""L18702""",
Th,1,"=""550.00329""","=""0.00006""","=""75""","=""""","=""""",,"=""1.393796936""","=""3.647415558""","=""5f.6d.7s2""","=""3F*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
Th,3,"=""550.01309""","=""0.00005""","=""92""","=""""","=""""",,"=""1.37909844""","=""3.63267678""","=""5f.6d""","=""3P*""","=""1""","=""5f2""","=""3P""","=""0""",3,1,,"=""""","=""L5951""",
Th,1,"=""550.128149""","=""0.000021""","=""680""","=""""","=""""",,"=""1.501989980""","=""3.755097039""","=""5f.6d.7s2""","=""1D*""","=""2""","=""""","=""""","=""1""",5,3,,"=""""","=""L5951""",
Th,2,"=""550.1543""","=""0.0004""","=""190""","=""""","=""""",,"=""2.49458139""","=""4.74757772""","=""5f.(2F*).6d2.(3P)""","=""*""","=""5/2""","=""5f.7s.(3F*).7p""","=""""","=""7/2""",6,8,,"=""""","=""L2372""",
Th,1,"=""550.17024""","=""0.00009""","=""36""","=""""","=""""",,"=""1.592945153""","=""3.84587992""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""4""",7,9,,"=""""","=""L5951""",
Th,2,"=""550.19440""","=""0.00003""","=""300""","=""""","=""""",,"=""0.77419390""","=""3.02702990""","=""6d2.(3P).7s""","=""4P""","=""1/2""","=""5f.(2F*).6d2.(3F)""","=""*""","=""3/2""",2,4,,"=""""","=""L5951""",
Th,2,"=""550.2034""","=""0.0004""","=""15""","=""""","=""""",,"=""2.91591271""","=""5.16870735""","=""5f.(2F*).6d2.(3F)""","=""*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",8,8,,"=""""","=""L2372""",
Th,1,"=""550.27193""","=""0.00009""","=""30""","=""""","=""""",,"=""2.549936368""","=""4.80245463""","=""6d2.7s.7p""","=""5D*""","=""4""","=""""","=""""","=""3""",9,7,,"=""""","=""L5951""",
Th,1,"=""550.30258""","=""0.00021""","=""38""","=""""","=""""",,"=""2.547112309""","=""4.79950590""","=""6d.7s2.7p""","=""3P*""","=""0""","=""""","=""""","=""1""",1,3,,"=""""","=""L12239""",
Th,2,"=""550.32657""","=""0.00015""","=""130""","=""""","=""""",,"=""5.69142015""","=""7.9437133""","=""5f2.6d+5f.6d.7p""","=""""","=""9/2""","=""""","=""*""","=""7/2 or 9/2 or 11/2""",10,8,,"=""""","=""L12239""",
Th,1,"=""550.3387""","=""0.0004""","=""7""","=""""","=""""",,"=""2.916238418""","=""5.16849060""","=""""","=""*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L12239""",
Th,1,"=""550.3473""","=""0.0003""","=""23""","=""""","=""""",,"=""2.158716703""","=""4.41092598""","=""6d.7s2.7p""","=""3D*""","=""3""","=""""","=""""","=""3""",7,7,,"=""""","=""L3552""",
Th,1,"=""550.3698""","=""0.0003""","=""15""","=""""","=""""",,"=""2.347057245""","=""4.59917509""","=""6d2.7s.7p""","=""3G*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L3552""",
Th,1,"=""550.430201""","=""0.000005""","=""2800""","=""""","=""""",,"=""0.902620242""","=""3.154490970""","=""6d2.7s2""","=""""","=""2""","=""""","=""*""","=""3""",5,7,,"=""""","=""L18702""",
Th,2,"=""550.4964""","=""0.0004""","=""22""","=""""","=""""",,"=""3.94272148""","=""6.19432155""","=""5f.(2F*).6d2.(1D)""","=""*""","=""7/2""","=""5f2.6d+5f.6d.7p""","=""""","=""7/2""",8,8,,"=""""","=""L2372""",
Th,1,"=""550.5547""","=""0.0003""","=""15""","=""""","=""""",,"=""2.473285786""","=""4.72464662""","=""6d2.7s.7p""","=""5F*""","=""4""","=""""","=""""","=""5""",9,11,,"=""""","=""L3552""",
Th,1,"=""550.5934""","=""0.0003""","=""38""","=""""","=""""",,"=""2.238363337""","=""4.48956624""","=""6d.7s2.7p""","=""3F*""","=""4""","=""""","=""""","=""5""",9,11,,"=""""","=""L3552""",
Th,1,"=""550.6078""","=""0.0003""","=""38""","=""""","=""""",,"=""2.853515099""","=""5.10465933""","=""""","=""*""","=""5""","=""""","=""""","=""5""",11,11,,"=""""","=""L3552""",
Th,2,"=""550.6334""","=""0.0004""","=""22""","=""""","=""""",,"=""2.19737014""","=""4.44841182""","=""5f.(2F*).6d2.(3F)""","=""*""","=""9/2""","=""5f.6d.(1G*).7p""","=""""","=""7/2""",10,8,,"=""""","=""L2372""",
Th,1,"=""550.6423""","=""0.0003""","=""23""","=""""","=""""",,"=""2.347057245""","=""4.59806004""","=""6d2.7s.7p""","=""3G*""","=""3""","=""""","=""""","=""4""",7,9,,"=""""","=""L3552""",
Th,1,"=""550.6676""","=""0.0003""","=""7""","=""""","=""""",,"=""2.670569119""","=""4.92146964""","=""""","=""*""","=""4""","=""5f.6d2.7p ""","=""5I""","=""5""",9,11,,"=""""","=""L3552""",
Th,1,"=""550.69196""","=""0.00003""","=""400""","=""""","=""""",,"=""2.428647391""","=""4.67944770""","=""6d2.7s.7p""","=""5G*""","=""5""","=""""","=""""","=""6""",11,13,,"=""""","=""L5951""",
Th,1,"=""550.7295""","=""0.0003""","=""7""","=""""","=""""",,"=""1.305125170""","=""3.555775009""","=""5f.6d.7s2""","=""3G*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L3552""",
Th,1,"=""550.753854""","=""0.000015""","=""700""","=""""","=""""",,"=""0.6151672932""","=""2.865714673""","=""6d2.7s2""","=""3F""","=""4""","=""5f.6d2.7s""","=""5G*""","=""4""",9,9,,"=""""","=""L18702""",
Th,1,"=""550.75806""","=""0.00006""","=""72""","=""""","=""""",,"=""1.336940873""","=""3.587471399""","=""6d.7s2.7p""","=""3F*""","=""2""","=""""","=""""","=""3""",5,7,,"=""""","=""L5951""",
Th,2,"=""550.79552""","=""0.00006""","=""80""","=""""","=""""",,"=""1.323300499""","=""3.57367762""","=""5f.6d.(3F*).7s""","=""*""","=""5/2""","=""5f.7s.(3F*).7p""","=""""","=""5/2""",6,6,,"=""""","=""L5951""",
Th,1,"=""550.80516""","=""0.00009""","=""40""","=""""","=""""",,"=""2.715535366""","=""4.96587318""","=""5f.6d2.7s""","=""3H*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L5951""",
Th,1,"=""550.855849""","=""0.000021""","=""540""","=""""","=""""",,"=""1.291188428""","=""3.541319107""","=""5f.6d.7s2""","=""1G*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L18702""",
Th,1,"=""550.9102""","=""0.0003""","=""19""","=""""","=""""",,"=""2.927163739""","=""5.17706807""","=""""","=""*""","=""5""","=""""","=""""","=""4""",11,9,,"=""""","=""L12239""",
Th,1,"=""550.999360""","=""0.000003""","=""5400""","=""""","=""""",,"=""1.215641081""","=""3.465185702""","=""6d3.(4F).7s""","=""5F""","=""5""","=""""","=""*""","=""4""",11,9,,"=""""","=""L18702""",
Th,1,"=""551.03742""","=""0.00007""","=""56""","=""""","=""""",,"=""1.592945153""","=""3.842334320""","=""6d3.(4P).7s""","=""5P""","=""3""","=""""","=""*""","=""3""",7,7,,"=""""","=""L5951""",
Th,1,"=""551.04974""","=""0.00005""","=""110""","=""""","=""""",,"=""1.880456013""","=""4.12979498""","=""6d2.7s.7p""","=""5G*""","=""3""","=""""","=""""","=""2""",7,5,,"=""""","=""L5951""",
Th,2,"=""551.06833""","=""0.00004""","=""200""","=""""","=""""",,"=""1.88987860""","=""4.13914169""","=""5f.(2F*).6d2.(3F)""","=""4H*""","=""9/2""","=""5f2.(3F).7s""","=""""","=""9/2""",10,10,,"=""""","=""L5951""",
Th,1,"=""551.10608""","=""0.00005""","=""120""","=""""","=""""",,"=""1.793458939""","=""4.04256796""","=""6d2.7s.7p""","=""5G*""","=""2""","=""""","=""""","=""1""",5,3,,"=""""","=""L5951""",
Th,2,"=""551.2191""","=""0.0004""","=""60""","=""""","=""""",,"=""1.79582734""","=""4.04447078""","=""5f.6d.(3H*).7s""","=""2H*""","=""11/2""","=""5f2.(3H).6d""","=""4K""","=""11/2""",12,12,,"=""""","=""L2372""",
Th,1,"=""551.27003""","=""0.00007""","=""50""","=""""","=""""",,"=""2.157126090""","=""4.40556628""","=""6d3.(4F).7s""","=""""","=""3""","=""""","=""*""","=""2""",7,5,,"=""""","=""L5951""",
Th,1,"=""551.3084""","=""0.0003""","=""15""","=""""","=""""",,"=""2.549936368""","=""4.79821956""","=""6d2.7s.7p""","=""5D*""","=""4""","=""""","=""""","=""4""",9,9,,"=""""","=""L3552""",
Th,1,"=""551.3370""","=""0.0003""","=""15""","=""""","=""""",,"=""2.169869268""","=""4.41803500""","=""5f.6d2.7s""","=""5I*""","=""5""","=""""","=""""","=""4""",11,9,,"=""""","=""L3552""",
Th,2,"=""551.3871""","=""0.0004""","=""60""","=""""","=""""",,"=""2.79129255""","=""5.03925537""","=""5f.(2F*).6d2.(3P)""","=""*""","=""5/2""","=""5f2.(3F).6d""","=""""","=""5/2""",6,6,,"=""""","=""L2372""",
Th,2,"=""551.4438""","=""0.0004""","=""30""","=""""","=""""",,"=""3.47482435""","=""5.72255744""","=""6d3""","=""2D1""","=""5/2""","=""6d2.(3P).7p""","=""*""","=""5/2""",6,6,,"=""""","=""L2372""",
Th,2,"=""551.4743""","=""0.0004""","=""75""","=""""","=""""",,"=""3.27621698""","=""5.52382816""","=""5f.(2F*).6d2.(3P)""","=""*""","=""5/2""","=""5f2.6d+5f.6d.7p""","=""""","=""5/2""",6,6,,"=""""","=""L2372""",
Th,1,"=""551.487297""","=""0.000004""","=""3500""","=""""","=""""",,"=""0.966490959""","=""3.214045292""","=""5f.6d.7s2""","=""3H*""","=""4""","=""6d4""","=""3H""","=""4""",9,9,,"=""""","=""L18702""",
