#                                             Damping parameters   Lande
# Elm Ion      WL_air(nm) Excit(eV) log gf*   Rad.  Stark    Waals  factor  References
'Th 2',      354.528500,    0.189, -1.450, 0.000, 0.000, 0.000,  1.140,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 3',      354.548852,    2.701, -0.630, 0.000, 0.000, 0.000,  1.160,'   2 wl:BPQZS   2 BPQZS   2 gf:BPQZS   2 BPQZS   2 BPQZS   2 BPQZS   2 BPQZS    Th+2'
'Th 1',      354.733700,    0.457, -0.567, 0.000, 0.000, 0.000,  1.100,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 1',      354.959600,    1.006,  0.058, 0.000, 0.000, 0.000,  1.290,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 2',      355.029200,    1.548, -0.659, 0.000, 0.000, 0.000,  0.850,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 1',      355.140200,    0.356, -0.669, 0.000, 0.000, 0.000,  1.360,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 2',      355.311000,    1.559, -0.194, 0.000, 0.000, 0.000,  1.100,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      355.337700,    1.204, -1.000, 0.000, 0.000, 0.000,  0.690,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 1',      355.501300,    0.356, -0.517, 0.000, 0.000, 0.000,  1.090,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 2',      355.510300,    1.205, -0.540, 0.000, 0.000, 0.000,  0.890,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 1',      355.570400,    1.291, -0.049, 0.000, 0.000, 0.000, 99.000,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 2',      355.746400,    0.765, -1.051, 0.000, 0.000, 0.000,  1.320,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      355.945000,    0.774, -0.550, 0.000, 0.000, 0.000,  1.810,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      355.994000,    1.548, -0.078, 0.000, 0.000, 0.000,  1.500,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 1',      356.178100,    0.789, -0.549, 0.000, 0.000, 0.000,  1.430,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 1',      356.337500,    1.388,  0.239, 0.000, 0.000, 0.000,  1.060,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 3',      356.396320,    1.988, -0.750, 0.000, 0.000, 0.000,  1.100,'   2 wl:BPQZS   2 BPQZS   2 gf:BPQZS   2 BPQZS   2 BPQZS   2 BPQZS   2 BPQZS    Th+2'
'Th 3',      356.525865,    0.598, -2.190, 0.000, 0.000, 0.000,  0.660,'   2 wl:BPQZS   2 BPQZS   2 gf:BPQZS   2 BPQZS   2 BPQZS   2 BPQZS   2 BPQZS    Th+2'
'Th 2',      356.539800,    1.145, -0.764, 0.000, 0.000, 0.000,  1.440,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      356.704700,    0.831, -1.377, 0.000, 0.000, 0.000,  1.140,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 1',      356.726400,    0.000, -0.946, 0.000, 0.000, 0.000,  0.590,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 2',      356.770200,    1.600, -0.618, 0.000, 0.000, 0.000,  0.850,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      356.962000,    0.765, -1.444, 0.000, 0.000, 0.000,  0.380,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 1',      356.982000,    0.479, -0.558, 0.000, 0.000, 0.000,  0.690,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 2',      357.157300,    1.263, -0.756, 0.000, 0.000, 0.000,  1.460,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      357.239200,    1.049, -0.479, 0.000, 0.000, 0.000,  1.080,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      357.322000,    1.067, -0.692, 0.000, 0.000, 0.000,  1.330,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      357.532200,    0.831, -0.503, 0.000, 0.000, 0.000,  0.950,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      357.933700,    1.049, -0.483, 0.000, 0.000, 0.000,  0.900,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      358.023100,    1.548, -0.375, 0.000, 0.000, 0.000,  1.490,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      358.200900,    1.346, -0.421, 0.000, 0.000, 0.000,  1.130,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      358.303500,    2.096,  0.165, 0.000, 0.000, 0.000,  1.010,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 1',      358.310200,    0.615, -0.432, 0.000, 0.000, 0.000,  1.180,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 1',      358.417500,    0.356, -0.794, 0.000, 0.000, 0.000,  1.140,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 2',      358.505100,    2.054,  0.089, 0.000, 0.000, 0.000,  0.850,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      358.577000,    1.188, -0.449, 0.000, 0.000, 0.000,  0.820,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      358.588600,    1.548, -0.090, 0.000, 0.000, 0.000,  1.210,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      358.830300,    0.231, -1.600, 0.000, 0.000, 0.000,  0.790,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      358.915400,    0.831, -1.194, 0.000, 0.000, 0.000,  1.040,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      358.936000,    0.830, -0.936, 0.000, 0.000, 0.000,  1.390,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 1',      358.975000,    0.930, -0.040, 0.000, 0.000, 0.000,  1.100,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 3',      359.100017,    1.332, -0.500, 0.000, 0.000, 0.000,  0.920,'   2 wl:BPQZS   2 BPQZS   2 gf:BPQZS   2 BPQZS   2 BPQZS   2 BPQZS   2 BPQZS    Th+2'
'Th 2',      359.106200,    1.067, -0.962, 0.000, 0.000, 0.000,  0.840,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 1',      359.145200,    0.457, -0.593, 0.000, 0.000, 0.000,  0.940,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 1',      359.277900,    1.091,  0.318, 0.000, 0.000, 0.000,  0.860,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th'
'Th 2',      359.282800,    1.145, -0.500, 0.000, 0.000, 0.000,  1.040,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 2',      359.388300,    1.662, -0.271, 0.000, 0.000, 0.000,  1.560,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
'Th 3',      359.522580,    0.627, -2.280, 0.000, 0.000, 0.000,  0.380,'   2 wl:BPQZS   2 BPQZS   2 gf:BPQZS   2 BPQZS   2 BPQZS   2 BPQZS   2 BPQZS    Th+2'
'Th 2',      359.532700,    1.546, -0.687, 0.000, 0.000, 0.000,  1.190,'   1 wl:MC   1 MC   1 gf:MC   1 MC   1 MC   1 MC   1 MC    Th+'
